Country,Region,Increase,Decrease,Net
Afghanistan,Asia,0.6323751477058301,0.08423106670839876,0.5481440809974314
Albania,Europe,0.47665586506279284,0.40178599894140665,0.07486986612138619
Algeria,Middle East and North Africa,0.46627890184697734,0.26993774426558137,0.19634115758139598
Argentina,Americas,0.392476617610128,0.4315184197915121,-0.039041802181384144
Armenia,Former Soviet Union,0.5819363978016666,0.22480974016994323,0.35712665763172335
Australia,Other/Unclassified,0.46132448372076545,0.3767096799174448,0.08461480380332065
Austria,Europe,0.42776256189493705,0.37031727186009844,0.057445290034838614
Azerbaijan,Former Soviet Union,0.3728441609967858,0.26359353700717497,0.10925062398961083
Bangladesh,Asia,0.8432238799390293,0.0503173916360564,0.7929064883029728
Belarus,Former Soviet Union,0.19111958542209156,0.35850870941739105,-0.16738912399529948
Belgium,Europe,0.3802162455860977,0.39812666101376265,-0.017910415427664972
Benin,Sub-Saharan Africa,0.6976550250981703,0.1513619969054164,0.5462930281927539
Bolivia,Americas,0.5163560150624702,0.340980634791305,0.17537538027116517
Bosnia and Herzegovina,Europe,0.291135185051505,0.4062550010582085,-0.11511981600670351
Botswana,Sub-Saharan Africa,0.7399172329211346,0.14050367369082012,0.5994135592303145
Brazil,Americas,0.4243832431671663,0.4220794727948675,0.0023037703722987857
Bulgaria,Former Soviet Union,0.21560851446770857,0.3160018492028714,-0.10039333473516282
Burkina Faso,Sub-Saharan Africa,0.593520071318568,0.1438294133946611,0.4496906579239069
Burundi,Sub-Saharan Africa,0.6781566707876299,0.157014047283468,0.5211426235041619
Cambodia,Asia,0.7119716837593408,0.10099119679002432,0.6109804869693165
Cameroon,Sub-Saharan Africa,0.7010191412611174,0.13273826264096955,0.5682808786201479
Canada,Americas,0.5304546516753343,0.3311323644771054,0.19932228719822892
Chad,Sub-Saharan Africa,0.6049865746026327,0.11887680795992374,0.486109766642709
Chile,Americas,0.4434992490119745,0.402470652873488,0.04102859613848653
China,Asia,0.6780873971094317,0.11916767683801564,0.558919720271416
Colombia,Americas,0.46933081712042723,0.4222622486270776,0.047068568493349616
Comoros,Sub-Saharan Africa,0.6148878452529929,0.15093281050289262,0.46395503475010025
Costa Rica,Americas,0.5869745042814328,0.3084470747618312,0.27852742951960163
Croatia,Europe,0.22121626302639485,0.254394391287613,-0.03317812826121813
Cyprus,Europe,0.4645956801044702,0.3748613469354132,0.08973433316905705
Czech Republic,Former Soviet Union,0.23053663800298596,0.22875229969881467,0.0017843383041712957
Denmark,Europe,0.5853986130920406,0.35858318541157463,0.22681542768046592
Dominican Republic,Americas,0.6270217258509496,0.2840838762638532,0.34293784958709644
Ecuador,Americas,0.4490056360970282,0.4167764144901001,0.032229221606928093
Egypt,Middle East and North Africa,0.460570242818499,0.14354853990984057,0.31702170290865844
El Salvador,Americas,0.4719743259233961,0.3767796442095356,0.09519468171386053
Estonia,Europe,0.2202460708991849,0.38423824597843104,-0.16399217507924613
Ethiopia,Sub-Saharan Africa,0.7844636052714634,0.04382995390610204,0.7406336513653614
Finland,Europe,0.47198433829294134,0.4213298142919537,0.05065452400098763
France,Europe,0.29014239136253545,0.5455637723200567,-0.25542138095752126
Gabon,Sub-Saharan Africa,0.42480516134951357,0.3255525186122854,0.09925264273722817
Georgia,Former Soviet Union,0.2953402329586728,0.3926313389039456,-0.0972911059452728
Germany,Europe,0.4055597961431863,0.3726049104261293,0.032954885717057014
Ghana,Sub-Saharan Africa,0.6759646348038397,0.13925855510948323,0.5367060796943565
Greece,Europe,0.3703034520651425,0.22856578527245053,0.14173766679269195
Guatemala,Americas,0.5716652311314476,0.3085565935346953,0.26310863759675235
Guinea,Sub-Saharan Africa,0.6821335458686019,0.11410925895216702,0.5680242869164348
Haiti,Americas,0.42658932507171243,0.34073569265855963,0.0858536324131528
Honduras,Americas,0.5837264395084448,0.28164134355678316,0.30208509595166166
Hungary,Former Soviet Union,0.2307394501803144,0.43103238206244976,-0.20029293188213537
Iceland,Europe,0.39975179125301713,0.3725595486072117,0.027192242645805442
India,Asia,0.5894339171338334,0.13784695877238304,0.45158695836145035
Indonesia,Asia,0.6914283422997343,0.1823018665291026,0.5091264757706316
Iran,Asia,0.5723391188403889,0.23680791053041772,0.3355312083099712
Iraq,Middle East and North Africa,0.6343619156424863,0.24573047553646943,0.3886314401060169
Ireland,Europe,0.5862027021293654,0.2604653015486361,0.3257374005807293
Israel,Middle East and North Africa,0.37507184858315795,0.3773523305325001,-0.0022804819493421613
Italy,Europe,0.438318350927325,0.4310196385119511,0.0072987124153739424
Japan,Asia,0.2623850935188294,0.3614331309899375,-0.09904803747110813
Jordan,Middle East and North Africa,0.49200342398685026,0.4151650548852214,0.07683836910162889
Kazakhstan,Former Soviet Union,0.3387051159391662,0.2403939184181303,0.0983111975210359
Kenya,Sub-Saharan Africa,0.7314661263184523,0.18507277219817408,0.5463933541202782
Kosovo,Other/Unclassified,0.615563935675514,0.2645274128322622,0.3510365228432518
Kuwait,Middle East and North Africa,0.600948960247312,0.305526336828405,0.295422623418907
Kyrgyzstan,Former Soviet Union,0.49833122083121867,0.16949973205264596,0.3288314887785727
Latvia,Europe,0.1602909651812179,0.4103112901176614,-0.25002032493644344
Lebanon,Middle East and North Africa,0.37694575848153944,0.4377029143574111,-0.06075715587587166
